"cntry","wave","node1","node2","item1","item2","sample_edge","bootstrap_mean","bootstrap_sd","ci_lower_2.5","ci_upper_97.5","ci_includes_zero","bootstrap_zero_proportion"
"BE","R10","V2","V7","impenv","imptrad",0,0.00413847524088689,0.0130398174281451,0,0.0453397052995652,TRUE,0.89
"BE","R10","V2","V8","impenv","ipadvnt",0,-0.00017580330476401,0.00302616832345973,0,0,TRUE,0.996
"BE","R10","V2","V9","impenv","ipbhprp",0,0.0102670378895297,0.0198154636716975,0,0.0636880662194877,TRUE,0.752
"BE","R10","V20","V21","ipsuces","ipudrst",0,0,0,0,0,TRUE,1
"BE","R10","V3","V10","impfree","ipcrtiv",0.076750458808928,0.0780687837398657,0.0328073298080754,0,0.141893637352186,TRUE,0.038
"BE","R10","V3","V11","impfree","ipeqopt",0,0.0118026901056742,0.0204506989836528,0,0.0659717843490429,TRUE,0.712
"BE","R10","V3","V12","impfree","ipfrule",0,-0.0159573743004086,0.0252363193602913,-0.0763561376242335,0,TRUE,0.678
"BE","R10","V3","V13","impfree","ipgdtim",0.125346075371617,0.12545667001788,0.0297906860745894,0.0633364640285502,0.182035135744306,FALSE,0
"BE","R10","V3","V14","impfree","iphlppl",0.0561804262391393,0.0644742513800415,0.0320887437738776,0,0.12653447806912,TRUE,0.094
"BE","R10","V3","V15","impfree","iplylfr",0.0757617795898606,0.0808655228051538,0.0356810126959135,0,0.149109990956759,TRUE,0.05
"BE","R10","V3","V16","impfree","ipmodst",0,0.00129637028269249,0.00688034223659463,0,0.0287882468913091,TRUE,0.962
"BE","R10","V3","V17","impfree","iprspot",0,0.00214689057327753,0.0102280825618104,0,0.0432577013564608,TRUE,0.952
"BE","R10","V3","V18","impfree","ipshabt",0,0.000417891459531231,0.00427995384349236,0,0,TRUE,0.99
"BE","R10","V3","V19","impfree","ipstrgv",0,0.00027073173777148,0.00276346120933446,0,0,TRUE,0.99
"BE","R10","V3","V20","impfree","ipsuces",0,0.000373679530995046,0.00397405411852491,0,0,TRUE,0.99
"BE","R10","V3","V21","impfree","ipudrst",0,0.00192067353182945,0.00779945031549604,0,0.0328476990568538,TRUE,0.938
"BE","R10","V3","V4","impfree","impfun",0,0.0043438456180941,0.0135056528502455,0,0.05396439856362,TRUE,0.898
"BE","R10","V3","V5","impfree","imprich",0,0.00242596952317815,0.010909179883374,0,0.0447651850943224,TRUE,0.946
"BE","R10","V3","V6","impfree","impsafe",0,-6.7428907070229e-05,0.00317222462163447,0,0,TRUE,0.994
"BE","R10","V3","V7","impfree","imptrad",0,-0.00309046426908906,0.0124623812802703,-0.0504712367364495,0,TRUE,0.936
"BE","R10","V3","V8","impfree","ipadvnt",0,0.0057096802548854,0.0156635917821182,0,0.0566935540962845,TRUE,0.872
"BE","R10","V3","V9","impfree","ipbhprp",0,-0.000202529783422724,0.00273611457072448,0,0,TRUE,0.994
"BE","R10","V4","V10","impfun","ipcrtiv",0,0,0,0,0,TRUE,1
"BE","R10","V4","V11","impfun","ipeqopt",0,0,0,0,0,TRUE,1
"BE","R10","V4","V12","impfun","ipfrule",0,0.00189836813245783,0.00966974829501947,0,0.0366474194737289,TRUE,0.958
"BE","R10","V4","V13","impfun","ipgdtim",0.340637691986104,0.339757570353422,0.0299942732347256,0.275292372955946,0.400181013965197,FALSE,0
"BE","R10","V4","V14","impfun","iphlppl",0.0259085007502278,0.0287433434841484,0.0329220124139346,0,0.0999555043479492,TRUE,0.518
"BE","R10","V4","V15","impfun","iplylfr",0.131702100716095,0.13177112163929,0.0288604453284058,0.0723761225755116,0.187905577693198,FALSE,0
"BE","R10","V4","V16","impfun","ipmodst",0,-0.000162044568411897,0.00264947003155058,0,0,TRUE,0.996
"BE","R10","V4","V17","impfun","iprspot",0,5.74602215735881e-05,0.00128484961440743,0,0,TRUE,0.998
"BE","R10","V4","V18","impfun","ipshabt",0.0476063781063683,0.0404764429776716,0.0300209279594227,0,0.0953828171192831,TRUE,0.28
"BE","R10","V4","V19","impfun","ipstrgv",0,-0.000614421713280716,0.00558049502685251,0,0,TRUE,0.986
"BE","R10","V4","V20","impfun","ipsuces",0.0447363748312986,0.0385375967745288,0.0304057995356048,0,0.0949963287591179,TRUE,0.3
"BE","R10","V4","V21","impfun","ipudrst",0,-0.0136628920233761,0.0282808552147298,-0.0879142199698983,0,TRUE,0.794
"BE","R10","V4","V5","impfun","imprich",0,0.00063492438963824,0.00485326800078967,0,0,TRUE,0.982
"BE","R10","V4","V6","impfun","impsafe",0,0.000143562811373621,0.00237896103523745,0,0,TRUE,0.996
"BE","R10","V4","V7","impfun","imptrad",0.0542296605712445,0.0443433469669449,0.0334175504077091,0,0.107709328004989,TRUE,0.284
"BE","R10","V4","V8","impfun","ipadvnt",0.0700274272641041,0.0692347927801901,0.0305641423355759,0,0.127937851452338,TRUE,0.058
"BE","R10","V4","V9","impfun","ipbhprp",0,-0.000714590197540107,0.00558550562117449,0,0,TRUE,0.982
"BE","R10","V5","V10","imprich","ipcrtiv",0,0.0170837813643834,0.026919408249175,0,0.0836557807447218,TRUE,0.674
"BE","R10","V5","V11","imprich","ipeqopt",0,-0.000728947650488099,0.00526609301665395,0,0,TRUE,0.978
